Time,Markouts,VolBand1,VolBand2,MarkoutsAtZero,MarkoutsAtZeroAverage,Volatilities
-10s,32.50306961,16.24886722,48.757272,-17.89032277,-9.43643825,16.25420239
-5s,21.7604861,8.10325378,35.41771842,-7.147739267,0.239160329,13.65723232
-4s,9.504026069,-1.234140701,20.24219284,5.108720763,7.082085877,10.73816677
-3s,14.7958414,4.01200769,25.57967511,-0.183094563,3.069462294,10.78383371
-2s,13.09261577,5.216727168,20.96850437,1.52013106,0.474706887,7.875888602
-1s,15.47623131,11.90086999,19.05159263,-0.863484478,-3.067281012,3.575361321
-500ms,12.01444535,8.130484704,15.898406,2.598301483,-0.235182864,3.883960646
-250ms,13.72659464,10.76442987,16.68875941,0.886152191,-1.17928869,2.962164772
-100ms,13.72659464,10.76442987,16.68875941,0.886152191,-1.17928869,2.962164772
0,14.61274683,14.61274683,14.61274683,0,0,0
50ms,14.61274683,14.61274683,14.61274683,0,0,0
100ms,14.61274683,14.61274683,14.61274683,0,0,0
250ms,14.69696396,12.77268669,16.62124123,-0.084217125,-2.122932326,1.924277268
500ms,14.3756322,12.48376275,16.26750165,0.23711463,-1.65094354,1.891869447
1s,12.97828126,10.03023256,15.92632996,1.634465568,-1.414949773,2.9480487
2s,9.427856181,3.691902551,15.16380981,5.184890651,2.125371329,5.73595363
3s,6.280191332,-0.188468227,12.74885089,8.332555501,8.732366036,6.468659559
4s,6.365165375,-0.089872062,12.82020281,8.247581457,8.024546756,6.455037437
5s,9.572188558,1.319057355,17.82531976,5.040558275,10.14651796,8.253131203
10s,8.786985371,-2.275813659,19.8497844,5.825761461,13.44903653,11.06279903
15s,17.37804841,6.12071722,28.6353796,-2.765301573,5.894644602,11.25733119
20s,18.53199034,1.9310401,35.13294058,-3.919243506,14.86135115,16.60095024
30s,-19.62968129,-44.59798384,5.33862126,34.24242812,40.11842213,24.96830255
45s,-33.91496134,-61.39002734,-6.43989534,48.52770818,50.26151561,27.475066
1m,-27.12321272,-67.21113343,12.96470799,41.73595956,36.57007909,40.08792071
2m,-23.00629402,-65.25522883,19.24264079,37.61904085,63.70822581,42.24893481
3m,-41.96893106,-85.88012238,1.94226026,56.58167789,54.73551173,43.91119132
4m,-39.58057482,-107.1520347,27.99088506,54.19332165,118.1983421,67.57145988
5m,-44.42122697,-128.515285,39.67283105,59.03397381,140.8357425,84.09405802
10m,-49.10571492,-144.5252792,46.31384932,63.71846176,170.542217,95.41956424
