Time,ExecV1,ExecV2,,,,,,,,,,,,,
-10s,103.3306927,31.21012506,,,,,,,,,,,,,
-5s,-15.06925399,18.29569258,,,,,,,,,,,,,
-4s,4.30538992,15.06722004,,,,,,,,,,,,,
-3s,0,19.3718501,,,,,,,,,,,,,
-2s,0,19.3718501,,,,,,,,,,,,,
-1s,0,18.29501603,,,,,,,,,,,,,
-500ms,0,17.21852024,,,,,,,,,,,,,
-250ms,0,17.21852024,,,,,,,,,,,,,
-100ms,0,0,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,
50ms,0,-1.076157515,,,,,,,,,,,,,
100ms,0,-1.076157515,,,,,,,,,,,,,
250ms,0,-1.076157515,,,,,,,,,,,,,
500ms,0,-6.458312013,,,,,,,,,,,,,
1s,0,-7.536109835,,,,,,,,,,,,,
2s,0,2.150948107,,,,,,,,,,,,,
3s,2.152750569,2.150948107,,,,,,,,,,,,,
4s,0,-1.078682867,,,,,,,,,,,,,
5s,0,-1.078747759,,,,,,,,,,,,,
10s,-32.28970148,-7.53846828,,,,,,,,,,,,,
15s,-25.83178343,-7.538871447,,,,,,,,,,,,,
20s,0.001000965,13.98151263,,,,,,,,,,,,,
30s,23.68025626,21.51247924,,,,,,,,,,,,,
45s,10.76453138,26.89261803,,,,,,,,,,,,,
1m,-12.91450149,8.599956116,,,,,,,,,,,,,
2m,23.67769824,5.365398914,,,,,,,,,,,,,
3m,-79.65088132,51.64267818,,,,,,,,,,,,,
4m,58.12248588,146.3635285,,,,,,,,,,,,,
5m,55.96595389,223.8746768,,,,,,,,,,,,,
10m,88.26088263,146.3548171,,,,,,,,,,,,,
