LP,TradeID,Symbol,TradeTime,Account,AvgNumLPs,TradeQuantity,Price,BestBid
LP_1,Trade_00150,EURUSD,1617801704261,Account,5.0,20570854.37932983,1.18859,1.188333586041647
LP_1,Trade_01277,EURUSD,1620738814694,Account,8.0,18800196.07022405,1.2162,1.215874032655247
LP_2,Trade_00478,EURUSD,1618575526124,Account,6.0,39230654.12673168,1.19876,1.198303689482171
LP_2,Trade_00803,EURUSD,1619529711163,Account,4.0,56686671.99788615,1.2086,1.20810553442728
LP_2,Trade_01509,EURUSD,1621339265487,Account,4.0,22106330.99777624,1.22188,1.221472549441714
LP_3,Trade_00765,EURUSD,1619440321368,Account,7.0,16102792.46466234,1.20812,1.207874698762855
LP_3,Trade_01460,EURUSD,1621256664347,Account,4.0,21276584.77518708,1.21443,1.214138723284159
LP_4,Trade_00201,EURUSD,1617888138140,Account,4.0,24610610.79287902,1.18908,1.188762736205811
LP_4,Trade_00299,EURUSD,1618235275542,Account,8.0,40799871.06961198,1.19145,1.190986660819665
LP_5,Trade_00718,EURUSD,1619185677813,Account,6.0,42902709.08968523,1.20684,1.206379882178034
LP_5,Trade_01653,EURUSD,1621601828737,Account,5.0,20658436.98568642,1.22063,1.220330215085592
LP_5,Trade_01798,EURUSD,1622033998359,Account,4.0,24841972.6267457,1.22218,1.221793075753611
