LP,OutCome,TradeCcy,Side,TradeTime,ProductType,PriceShown,MissedByPIPS
LP_1,LOST,USD,S,2021-04-02 07:50:02.713,SPOT,110.4742337478378,293.46252162198994
LP_1,LOST,USD,S,2021-04-02 10:56:21.839,SPOT,110.4903882824101,35.0171758989859
LP_1,WON,USD,B,2021-04-02 14:43:28.672,SPOT,110.73368,0.0
LP_1,WON,USD,S,2021-04-02 15:14:59.836,SPOT,110.63787,-0.0
LP_1,WON,USD,S,2021-04-02 15:14:59.836,SPOT,110.66301,-0.0
LP_1,LOST,USD,S,2021-04-02 15:14:59.836,SPOT,110.6166507758792,42.69224120804438
LP_1,LOST,USD,B,2021-04-05 07:44:16.294,SPOT,110.6794066328224,114.56632822401502
LP_1,WON,USD,B,2021-04-05 09:14:25.998,SPOT,110.6201,0.0
LP_1,LOST,USD,B,2021-04-05 10:41:31.517,SPOT,110.6260751861274,118.95186127389934
LP_1,LOST,USD,S,2021-04-05 11:31:07.626,SPOT,110.4742189804579,118.11019542093959
LP_1,LOST,USD,B,2021-04-05 16:39:12.634,SPOT,110.1335888897233,141.288897232954
LP_1,LOST,USD,B,2021-04-05 17:10:55.973,SPOT,110.1357670450267,58.37045026694909
LP_1,LOST,USD,S,2021-04-05 21:01:00.990,SPOT,110.1379280699005,61.71930099498013
LP_1,LOST,USD,S,2021-04-05 22:14:09.119,SPOT,110.0999611621479,204.08837852087913
LP_1,WON,USD,B,2021-04-05 22:25:36.245,SPOT,110.20591,0.0
LP_1,WON,USD,B,2021-04-06 07:14:49.948,SPOT,110.37564,0.0
LP_1,LOST,USD,B,2021-04-06 07:22:30.032,SPOT,110.4476653494822,142.65349482187162
LP_1,LOST,USD,B,2021-04-06 07:44:44.969,SPOT,110.3933069450965,311.36945096491786
LP_1,LOST,USD,B,2021-04-06 13:54:25.816,SPOT,109.8727771777147,216.17177714702507
LP_1,LOST,USD,S,2021-04-06 14:16:35.460,SPOT,109.8006466237013,128.93376298706016
LP_1,LOST,USD,S,2021-04-06 14:30:51.625,SPOT,109.8630852807536,82.44719246405907
LP_1,WON,USD,B,2021-04-06 14:54:23.995,SPOT,109.79455,0.0
LP_1,LOST,USD,S,2021-04-06 19:09:55.276,SPOT,109.7743077508915,225.822491085097
LP_1,LOST,USD,B,2021-04-06 21:22:50.745,SPOT,109.8387456501083,279.7565010828862
LP_1,LOST,USD,S,2021-04-06 21:40:39.734,SPOT,109.7253829241601,25.270758398932003
LP_1,LOST,USD,B,2021-04-07 07:19:24.877,SPOT,109.8563511292775,27.011292774972162
LP_1,LOST,USD,B,2021-04-07 10:12:56.004,SPOT,109.8069442856967,172.7428569670053
LP_1,WON,USD,B,2021-04-07 10:23:12.429,SPOT,109.79579,0.0
LP_1,WON,USD,S,2021-04-07 13:45:52.428,SPOT,109.8357,-0.0
LP_1,WON,USD,S,2021-04-07 14:43:51.204,SPOT,109.62839,-0.0
LP_1,WON,USD,S,2021-04-07 14:51:29.641,SPOT,109.67084,-0.0
LP_1,LOST,USD,B,2021-04-07 15:12:16.797,SPOT,109.6996205481702,200.00548170202137
LP_1,WON,USD,S,2021-04-07 16:59:29.781,SPOT,109.6675,-0.0
LP_1,LOST,USD,S,2021-04-07 17:29:15.433,SPOT,109.6456618018322,95.28198167799928
LP_1,LOST,USD,S,2021-04-07 19:36:10.171,SPOT,109.7871631691319,350.8683086809583
LP_1,WON,USD,B,2021-04-07 20:11:45.679,SPOT,109.8267,0.0
LP_1,LOST,USD,S,2021-04-08 07:12:38.934,SPOT,109.4586977071467,238.62292853308986
LP_1,WON,USD,S,2021-04-08 12:32:51.672,SPOT,109.15154,-0.0
LP_1,LOST,USD,B,2021-04-08 14:06:24.198,SPOT,109.108104520673,4.24520672993367
LP_1,LOST,USD,B,2021-04-08 14:39:12.210,SPOT,109.3114595243433,469.89524343302946
LP_1,WON,USD,B,2021-04-08 17:09:26.157,SPOT,109.249,0.0
LP_1,LOST,USD,S,2021-04-08 17:38:05.212,SPOT,109.1517873283049,255.62671695098516
LP_1,LOST,USD,S,2021-04-08 18:08:32.629,SPOT,109.1980255177933,21.944822067041514
LP_1,LOST,USD,B,2021-04-08 18:30:32.069,SPOT,109.3473812636048,480.1126360480623
