Time,LP1,LP2,LP3,LP4,LP5,LP6
-10s,6.968914003,5.676783819,5.926521526,3.897806457,3.652515061,3.718808624
-5s,4.954375498,4.153527121,4.355650255,3.087691943,2.807202891,2.708913021
-4s,4.424858173,3.870642273,3.942311738,2.905472032,2.586042318,2.46292741
-3s,3.507082462,3.130276395,3.230913722,2.608747225,2.352843947,2.135279941
-2s,2.705251809,2.422237689,2.53219736,2.106966012,2.081711297,1.907552866
-1s,1.851386445,1.877140717,1.717010853,1.628403307,1.750838549,1.517562194
-500ms,1.391946617,1.351824396,1.134957051,1.281226487,1.591543516,1.198203172
-250ms,1.005221999,0.901650599,0.772005043,0.911924662,1.263766874,0.812797739
-100ms,0.646943518,0.755624912,0.512760222,0.537806044,0.317498855,0.522474419
0,0,0,0,0,0,0
50ms,0.464602954,0.468598252,0.490249251,0.368678669,0.30172526,0.372662411
100ms,0.714668559,0.600741266,0.698911889,0.693243333,0.440099204,0.585796072
250ms,1.706196654,1.185752978,1.13519561,1.268183881,0.678572216,0.894265447
500ms,2.190568158,1.655689792,1.534161391,1.783548097,1.022876652,1.178405371
1s,2.806689311,1.84750798,1.939589429,1.983211528,1.267682486,1.387192621
2s,3.609830657,2.048321131,2.723953075,2.202516166,1.499216157,1.772936955
3s,3.93902337,2.316302012,3.430952572,2.214597526,1.711210797,2.136639208
4s,4.870669024,2.738981426,4.007487117,2.441366411,2.342449688,2.220841043
5s,5.453866007,3.066836604,4.36463353,2.634129781,2.266657029,2.24246203
10s,9.742502844,4.113285343,4.843709379,3.782519862,3.299713804,3.234600289
15s,10.59205981,4.899055531,6.198894213,4.546044291,3.62672925,3.646002687
20s,11.09730275,5.733463618,5.860283855,5.075562613,3.974785683,3.903978576
30s,10.17592756,5.662794778,5.481957659,5.384350118,4.705075618,4.428057442
45s,9.65745953,6.655795182,6.660681925,6.701975679,5.197252662,5.537246147
1m,10.89880558,7.481464955,8.289936294,6.961093599,5.8528365,5.89700558
2m,13.50577852,9.703061786,11.44751237,9.253508411,7.945491868,7.510986381
3m,16.16622519,11.95516253,13.13556511,11.1834323,9.490410658,9.307555418
4m,18.1265674,14.25604598,13.97826617,13.77017284,11.04819325,11.18917147
5m,21.04741672,16.3038241,17.03037128,14.59072273,12.06231854,12.18448265
10m,28.21517438,21.28982678,19.24455907,19.50001801,14.95069121,16.73279955
