Time,LP1,LP2,LP3,LP4,LP5,LP6
-10s,-27.27665711,-20.54088158,15.50354787,-16.76269177,-24.65054025,-11.97990377
-5s,-9.192685546,1.262288812,9.803287027,7.417733745,-5.907482411,1.823929986
-4s,-8.363836849,0.229507057,9.662232537,9.948082172,-3.735375983,5.803413593
-3s,-0.301399526,5.163908776,10.79066845,16.65177239,-1.742685252,7.005549266
-2s,-2.185146564,6.885211701,9.778395058,11.45935877,-2.138282157,4.684183828
-1s,-2.938645379,3.098345266,7.289198183,1.539006441,-1.972102044,3.357689293
-500ms,-2.260496446,3.098345266,5.480381787,-0.485272301,-0.879431038,4.145295423
-250ms,1.356297867,2.524577624,3.144685386,0.831895373,0.34706643,3.026065659
-100ms,0.904198578,1.721302925,1.286085052,0.554596916,0.082354746,-1.285041581
0,0,0,0,0,0,0
50ms,0.527449171,-1.491795869,-1.161625208,0.180243998,0.276476648,-1.575212261
100ms,0.452099289,-0.803274699,-2.995333573,0.318893226,-2.58976264,-2.4457243
250ms,10.47363353,4.819648191,-0.319446932,3.126540111,-4.492745523,-0.994870902
500ms,14.76857678,2.524577624,-0.236473703,6.426391759,-5.042757577,-3.399142247
1s,16.87837346,6.540951116,-0.286257641,6.828474522,-5.997190259,1.160682719
2s,20.41981789,13.65566987,5.538463047,18.10065683,1.163260788,11.19229764
3s,29.08505427,16.63926161,-0.136905828,21.2341294,1.327970281,9.824350153
4s,36.6953923,21.11464922,5.297840683,29.12327053,1.892688539,12.02135673
5s,36.39399278,19.50809982,-1.124287255,32.83906986,2.694176693,8.12477903
10s,55.00541351,30.86869913,0.352636224,21.52529278,-0.613248734,15.42049897
15s,74.97313212,36.72112907,-15.47035858,27.62585885,-2.772119578,17.1200701
20s,80.09692406,34.88507262,-1.883492302,26.94647763,1.929454051,18.40511168
30s,47.09367595,26.27855799,10.49196483,24.09030352,-4.61039516,14.6743458
45s,24.26266185,10.0983105,-3.816768542,5.878727305,-16.26800359,11.56537423
1m,44.23038045,1.032781755,5.107002256,-0.235703689,-36.0654963,-3.979483606
2m,-8.740586257,-19.39334629,6.907521329,-12.30511906,-43.85390229,-36.06407018
3m,71.3563378,63.80296177,7.853416141,-5.552901617,13.57676814,25.07903731
4m,88.00866162,63.45870118,-16.37891544,19.94469157,12.24879786,52.76961074
5m,74.89778223,24.90151565,-43.29128232,11.59107553,-27.37707059,-4.186748378
10m,-9.117335664,-42.34405196,111.9350348,93.12375458,0.825018081,-14.59143989
