Time,LP1,LP2,LP3,LP4,LP5,LP6
-10s,-24.38336193,-20.44257352,10.29679232,-13.16901146,-21.79562036,-10.14827248
-5s,-4.911940892,1.270352409,8.826361223,2.318236309,-8.047404862,2.03174571
-4s,-3.046313355,0.213997696,9.248397941,5.856157993,-5.940045117,6.073810908
-3s,2.100544481,5.175212864,10.51344598,13.35283876,-4.313596341,6.795889817
-2s,-0.17603537,6.90554927,9.519913801,7.585306152,-3.483092256,4.406358088
-1s,-1.76877241,3.11598291,5.950168715,-0.559309815,-2.711515306,3.041000889
-500ms,-1.980963611,3.116424728,4.736548521,-1.226776885,-1.606005372,3.851495764
-250ms,0.726143484,2.541177661,3.112331434,-0.224515527,-0.63671329,2.696744933
-100ms,0.182282684,1.723588957,1.345851106,-0.443111456,-0.243147121,-1.307868809
0,0,0,0,0,0,0
50ms,0.629959867,-1.498700768,-1.299995377,-0.001144531,0.419923341,-1.594983816
100ms,0.53839863,-0.809005737,-2.99921988,-0.107358632,-1.18482375,-2.489118016
250ms,4.615529952,4.787389325,0.145680727,3.762450658,-2.961302181,-0.760043427
500ms,7.944233961,2.499590593,0.082286363,5.793755848,-2.762476118,-3.310231949
1s,9.752678901,6.55325926,0.769759796,3.469644968,-2.802520916,1.36798495
2s,13.04087556,13.60455644,5.686776192,13.55876566,1.759052187,11.56755811
3s,17.80898889,16.53820437,1.558437338,16.86394184,2.351490998,10.12134662
4s,21.14464917,20.98402828,6.941789498,22.71018496,2.36372426,12.27311897
5s,20.28139767,19.34986692,2.04453656,25.94988932,2.773422635,8.395414418
10s,31.50797149,30.68909177,4.759343537,21.91968207,1.376036077,15.45853774
15s,43.43884845,36.46580565,-7.664244135,24.64499307,0.702994923,17.46411473
20s,48.82359226,34.56476767,2.16794009,21.19703788,8.072148932,19.23763282
30s,31.33248748,26.10715778,13.44277802,16.51761201,0.71842695,16.42111883
45s,15.68474511,9.925793864,-0.383083501,-2.482059266,-11.11788708,13.76190995
1m,15.05393235,0.785271832,7.253899521,-14.60540151,-22.79609685,-1.501658488
2m,-16.05105322,-19.41375209,4.213631691,-19.42575102,-28.06837537,-32.16667215
3m,26.71286483,63.90768194,10.07140063,-23.24141359,12.10415736,30.31932351
4m,20.91201318,63.74185526,-2.94828308,-6.946663358,5.869930012,60.37828902
5m,-8.445207068,25.05009016,-32.13520051,-5.994075168,-14.45497771,6.505106865
10m,-48.16389727,-42.25163558,115.7669923,27.77406897,19.90144876,5.137655847
