Symbol,NumberOfFills,NumberOfRejects,FillVolume,RejectVolume,AvgTradeSizeUSD,SpreadPaid,RejectCost,ToxicityOfFills,RejectToFill,EffectiveSpread,VolumeShare,RejectCostUSD
AUDUSD,676,32,347.65246249999996,18.685446,514278.7906804734,23.88736136163481,51.7515075637067,5.961413260517421,0.05374748639958217,26.66887481057301,59.682218087614835,967.0000000002331
NZDUSD,136,16,76.15347249999999,11.166733999999998,559952.0036764706,46.51790501082715,98.14866190959724,16.814728967232647,0.1466346002803746,60.90989481799457,13.073424307685377,1096.0000000004043
USDCAD,124,9,94.99999999999999,5.3,766129.0322580645,23.452219756778963,40.03172440148127,10.119411241152957,0.055789473684210535,25.68556859180897,16.308846707287195,212.16813932785072
USDCHF,59,0,39.5,0.0,669491.5254237289,23.373632642950877,0.0,10.797358187290179,0.0,23.373632642950877,6.781046788819413,0.0
USDHUF,1,0,1.0,0.0,1000000.0,271.3364363090987,0.0,0.0,0.0,271.3364363090987,0.1716720706030231,0.0
USDNOK,14,0,12.5,0.0,892857.1428571428,91.48813123595072,0.0,10.553399844908105,0.0,91.48813123595072,2.1459008825377888,0.0
USDSEK,2,0,1.1,0.0,550000.0,211.0620267726748,0.0,-3.960949563897032,0.0,211.0620267726748,0.18883927766332545,0.0
USDSGD,1,0,1.0,0.0,1000000.0,53.157747387330204,0.0,17.719249129077852,0.0,53.157747387330204,0.1716720706030231,0.0
USDTRY,6,0,4.1000000000000005,0.0,683333.3333333334,226.14912489587985,0.0,23.220384171300413,0.0,226.14912489587985,0.7038554894723948,0.0
USDZAR,6,0,4.5,0.0,750000.0,370.68626113912103,0.0,6.425647423169423,0.0,370.68626113912103,0.7725243177136041,0.0
