ParentOrderID,Symbol,LegSymbols,TradeCurrency,NumChildEvents,NumParentEvents,Trader,Account,SubAccount,AlgoName,AlgoUrgency,LP,AvgChildOrderQuantityUSD,TradeQuantityUSD,SpreadPaidPMChildOrders,ArrivalTime,ArrivalPrice,LimitPrice,SubmissionTime,SubmissionPrice,FirstFillTime,FirstFillPrice,LastTime,LastPrice,OrderQuantityUSD,OrderQuantity,Side,CurrencyPositions,AllInPrice,AllInNetPrice,ExecutionScore,ReversalScore,PrincipalMid,RiskTransferPrice,TradeQuantity,SlippageToArrivalMidTradePM,SlippageToArrivalMidTradeNetPM,SlippageToArrivalMidRemainPM,RemainQuantity,Duration,SlippageToArrivalMidPM,SlippageToArrivalMidNetPM,Date,TWAPPrice,SlippageToTWAPMidPM,SlippageToTWAPMidNetPM,TradeIntensity,OrderIntensity,RiskTransferCostReportedPM,G10EM,TimeZoneArrive,TimeZoneEnd,TradeSizeBucketUSDM,HourArrive,HourEnd,RiskTransferCostStaticPM,DailyVolatilityPct,RiskTransferCostVolBumpPM,RiskTransferCostModelPM,ArrivalVolatilityPct,RiskTransferCostTradefeedrPM,AssumedRisk,SlippageToArrivalMidRemainNetPM,ArrivalMidPerfBPS,ArrivalMidPerfTradeBPS,ArrivalMidPerfRemainBPS,ArrivalMidPerfNetBPS,ArrivalMidPerfTradeNetBPS,ArrivalMidPerfRemainNetBPS,TWAPMidPerfBPS,TWAPMidPerfNetBPS,SubmissionMidPerfTradeBPS,SubmissionMidPerfTradeNetBPS,FirstFillMidPerfTradeBPS,FirstFillMidPerfTradeNetBPS,SubmissionMidPerfRemainBPS,SubmissionMidPerfRemainNetBPS,FirstFillMidPerfRemainBPS,FirstFillMidPerfRemainNetBPS,SubmissionMidPerfBPS,SubmissionMidPerfNetBPS,FirstFillMidPerfBPS,FirstFillMidPerfNetBPS,TWAPPriceSubmission,TWAPPriceArrival,TWAPPriceFirstFill,TWAPPriceHalfSpeed,TWAPSubmissionMidPerfBPS,TWAPArrivalMidPerfBPS,TWAPFirstFillMidPerfBPS,TWAPHalfSpeedMidPerfBPS,ReversalBPSNeg10s,ReversalBPSNeg5s,ReversalBPSNeg1s,ReversalBPS0,ReversalBPS1s,ReversalBPS5s,ReversalBPS10s,ReversalBPS30s,ReversalBPS1m,ReversalBPS5m,ReversalBPS10m,SlippageToArrivalMidTradeUserPM,SlippageToArrivalMidTradeBankPM,ArrivalMidPerfTradeUserBPS,ArrivalMidPerfTradeBankBPS,UploadID,UploadedBy,ModifiedBy
20180903-A00,NZDUSD,['NZDUSD'],NZD,12,2,Algo,Algo,DefaultSubAccount,AggressivePOL,,LP3,2508280.342,35119258.24,30.38293898,1.53597E+12,0.66119,,1.53597E+12,0.66119,1.53597E+12,0.66119,1.53597E+12,0.66128,66128000,100000000,S,"OrderedDict([('NZD', -53108000.0), ('USD', 35114857.86)])",0.661197143,0.661197143,19.408446,0,,,53108000,-10.80347792,-10.80347792,-136.1182111,46892000,191,-69.56606261,-69.56606261,03/09/2018,0.661226697,44.69573187,44.69573187,11.03222772,20.77319372,,G10,London,London,0-50,10,10,500,8.182172215,,,7.323317827,853.195599,2.423417045,-136.1182111,0.695660626,0.108034779,1.361182111,0.695660626,0.108034779,1.361182111,-0.43180072,-0.446957319,0.108034779,0.108034779,0.108034779,0.108034779,1.361182111,1.361182111,1.361182111,1.361182111,0.695660626,0.695660626,0.695660626,0.695660626,0.661225695,0.661225695,0.661226085,0.661262862,-0.43180072,-0.43180072,-0.437706791,-0.99383654,0.151221873,0,0,0,0,0,0,0.453665618,0.302443745,1.360996855,0,0,-10.80347792,0,0.108034779,6.00855E+17,TRADEFEEDR,TRADEFEEDR
20180903-A01,AUDUSD,['AUDUSD'],AUD,11,2,Algo,Algo,DefaultSubAccount,Sweep,,LP1,4504675.472,58562421.12,63.26691565,1.53597E+12,0.72104,,1.53597E+12,0.72104,1.53597E+12,0.72104,1.53597E+12,0.72107,144214000,200000000,S,"OrderedDict([('AUD', -81216000.0), ('USD', 58557076.17000001)])",0.721004189,0.721004189,0,0,,,81216000,49.66621067,49.66621067,-41.60656829,118784000,11,-4.542518209,-4.542518209,03/09/2018,0.72106,77.40177592,77.40177592,319.4313879,786.6218182,,G10,London,London,50-100,11,11,500,9.512905146,,,9.400337334,884.3743648,0.676164503,-41.60656829,0.045425182,-0.496662107,0.416065683,0.045425182,-0.496662107,0.416065683,-0.519449053,-0.774017759,-0.496662107,-0.496662107,-0.496662107,-0.496662107,0.416065683,0.416065683,0.416065683,0.416065683,0.045425182,0.045425182,0.045425182,0.045425182,0.721041643,0.721041643,0.721041643,0.721065819,-0.519449053,-0.519449053,-0.519449053,-0.854718265,-0.416048373,0,0,0,0,0,0.346706977,0.277365582,0,-1.248145118,-2.218924654,0,49.66621067,0,-0.496662107,6.00855E+17,TRADEFEEDR,TRADEFEEDR
20180903-A02,USDCAD,['USDCAD'],USD,14,2,Algo,Algo,DefaultSubAccount,Iceberg,,LP3,7058687.5,112939000,15.12233209,1.53598E+12,1.30692,,1.53598E+12,1.30692,1.53598E+12,1.30692,1.53598E+12,1.307185,200000000,200000000,B,"OrderedDict([('USD', 112939000.0), ('CAD', -147618578.37000003)])",1.307064684,1.307064684,36.88789849,99.37683222,,,112939000,110.7062483,110.7062483,202.7668105,87061000,1218,150.7806713,150.7806713,03/09/2018,1.306999952,49.52748922,49.52748922,5.563497537,9.852216749,,G10,London,London,100-200,13,14,500,7.404041694,,,12.62333446,778.7239323,5.537775661,202.7668105,-1.507806713,-1.107062483,-2.027668105,-1.507806713,-1.107062483,-2.027668105,-0.496924703,-0.495274892,-1.107062483,-1.107062483,-1.107062483,-1.107062483,-2.027668105,-2.027668105,-2.027668105,-2.027668105,-1.507806713,-1.507806713,-1.507806713,-1.507806713,1.306999736,1.306999736,1.306999736,1.30733366,-0.496924703,-0.496924703,-0.496924703,2.057438928,-0.229500798,0,0,0,0,-0.306001063,-0.076500266,0.229500798,-0.344251196,-4.437015419,-4.398765286,0,110.7062483,0,-1.107062483,6.00855E+17,TRADEFEEDR,TRADEFEEDR
20180903-A03,EURUSD,['EURUSD'],EUR,6,2,Algo,Algo,DefaultSubAccount,MidTracker,,LP3,14215646.88,113702927.6,24.52930935,1.53598E+12,1.16106,,1.53598E+12,1.16106,1.53598E+12,1.161305,1.53598E+12,1.16117,232234000,200000000,S,"OrderedDict([('EUR', -97921000.0), ('USD', 113722385.45000002)])",1.161368719,1.161368719,74.66032202,87.54072919,,,97921000,-265.8938727,-265.8938727,-94.74101252,102079000,674,-178.5383086,-178.5383086,03/09/2018,1.161252959,-99.68545092,-99.68545092,10.12192234,20.67364985,,G10,London,London,100-200,14,14,500,8.260037754,,,13.67004275,451.8589389,4.595733525,-94.74101252,1.785383086,2.658938727,0.947410125,1.785383086,2.658938727,0.947410125,1.002464674,0.996854509,2.658938727,2.658938727,0.548682214,0.548682214,0.947410125,0.947410125,-1.162485307,-1.162485307,1.785383086,1.785383086,-0.324689133,-0.324689133,1.161252307,1.161252307,1.16126604,1.16120114,1.002464674,1.002464674,0.8841977,1.44315071,0.129180051,0.043060017,0,0,-0.043060017,-0.344480136,-0.215300085,0.129180051,0.258360102,-2.239120887,-0.344480136,0,-265.8938727,0,2.658938727,6.00855E+17,TRADEFEEDR,TRADEFEEDR
m20180903-A00,AUDCHF,"['AUDUSD', 'USDCHF']",AUD,32,2,Algo,Algo,DefaultSubAccount,PassiveMidTracker,,LP1,983001.8876,16715979.83,7.415535026,1.53599E+12,0.698907776,,1.53599E+12,0.698907776,1.53599E+12,0.698977544,1.53599E+12,0.69913422,36080250,50000000,S,"OrderedDict([('AUD', -23165000.0), ('USD', 635.9299999994691), ('CHF', 16192358.431376997)])",0.699001011,0.699001011,,,,,23165000,-133.4022562,-133.4022562,-323.9979335,26835000,784,-235.6949562,-235.6949562,03/09/2018,0.699033685,46.74113472,46.74113472,1.27928417,2.761243622,,G10,London,London,0-50,15,15,,7.950650275,,,10.85942668,417.1097881,4.770935446,-323.9979335,2.356949562,1.334022562,3.239979335,2.356949562,1.334022562,3.239979335,-0.976012388,-0.467411347,1.334022562,1.334022562,,,3.239979335,3.239979335,0,0,2.356949562,2.356949562,,,0.699069242,0.699069242,0.699072818,0.699080099,-0.976012388,-0.976012388,-1.027163926,-1.131303519,0.395170186,0.15482113,0.15482113,0,0.085530072,0.051607043,0.051607043,0.206428173,0.549990243,0.278552736,-1.894522842,0,-133.4022562,0,1.334022562,6.78874E+17,TRADEFEEDR,TRADEFEEDR
20180903-A04,AUDUSD,['AUDUSD'],AUD,24,2,Algo,Algo,DefaultSubAccount,Sweep,,LP1,1393687.138,36235865.6,59.76923593,1.53599E+12,0.7216,,1.53599E+12,0.7216,1.53599E+12,0.7216,1.53599E+12,0.7216,72160000,100000000,B,"OrderedDict([('AUD', 50216000.0), ('USD', -36238031.38999999)])",0.721643129,0.721643129,100,100,,,50216000,59.76923593,59.76923593,0,49784000,6,30.01371951,30.01371951,03/09/2018,0.7216,59.76923593,59.76923593,362.358656,721.6,,G10,London,London,0-50,15,15,500,9.512905146,,,11.76415037,598.542677,0.499380581,0,-0.300137195,-0.597692359,0,-0.300137195,-0.597692359,0,-0.597692359,-0.597692359,-0.597692359,-0.597692359,-0.597692359,-0.597692359,0,0,0,0,-0.300137195,-0.300137195,-0.300137195,-0.300137195,0.7216,0.7216,0.7216,0.721600217,-0.597692359,-0.597692359,-0.597692359,-0.594681384,0,0,0,0,0,0,0.069290466,-0.069290466,-0.069290466,0.138580931,2.563747228,0,59.76923593,0,-0.597692359,6.00855E+17,TRADEFEEDR,TRADEFEEDR
20180903-A05,EURUSD,['EURUSD'],EUR,14,2,Algo,Algo,DefaultSubAccount,AggressivePOL,,LP2,3337083.692,53391297.68,28.0543421,1.53599E+12,1.161775,,1.53599E+12,1.161775,1.53599E+12,1.16178,1.53599E+12,1.16164,116164000,100000000,B,"OrderedDict([('EUR', 45962000.0), ('USD', -53394836.99)])",1.161717008,1.161717008,34.16506666,3.933526468,,,45962000,-49.91648332,-49.91648332,-116.201502,54038000,215,-85.73558172,-85.73558172,03/09/2018,1.161681136,30.87932535,30.87932535,14.89989703,32.41786047,,G10,London,London,50-100,16,16,500,8.260037754,,,10.43328174,276.3356057,2.595637983,-116.201502,0.857355817,0.499164833,1.16201502,0.857355817,0.499164833,1.16201502,-0.292724633,-0.308793253,0.499164833,0.499164833,0.542200093,0.542200093,1.16201502,1.16201502,1.205047427,1.205047427,0.857355817,0.857355817,0.900389535,0.900389535,1.161683003,1.161683003,1.161680357,1.161677917,-0.292724633,-0.292724633,-0.315503617,-0.336510376,0,0,0,0,0,0,0,-0.043042595,-0.301298165,0.989979684,-0.17217038,0,-49.91648332,0,0.499164833,6.00855E+17,TRADEFEEDR,TRADEFEEDR
20180903-A06,USDJPY,['USDJPY'],USD,23,2,Algo,Algo,DefaultSubAccount,AggressivePOL,,LP3,4830760,120769000,29.36995984,1.536E+12,111.1145,,1.536E+12,111.1145,1.536E+12,111.1145,1.536E+12,111.1145,200000000,200000000,S,"OrderedDict([('USD', -120769000.0), ('JPY', 13418681688.160002)])",111.1103155,111.1103155,0,0,,,120769000,37.65968371,37.65968371,0,79231000,348,22.74061171,22.74061171,03/09/2018,111.113081,24.88900194,24.88900194,20.82224138,34.48275862,,G10,NewYork,NewYork,100-200,19,19,500,4.544233385,,,4.074724781,454.1522188,1.81674138,0,-0.227406117,-0.376596837,0,-0.227406117,-0.376596837,0,-0.263910739,-0.248890019,-0.376596837,-0.376596837,-0.376596837,-0.376596837,0,0,0,0,-0.227406117,-0.227406117,-0.227406117,-0.227406117,111.1132479,111.1132479,111.1132438,111.1146402,-0.263910739,-0.263910739,-0.263543647,-0.389215488,0,0,0,0,0,0,0,-0.089997255,-0.089997255,0.539983531,-0.809975296,0,37.65968371,0,-0.376596837,6.00855E+17,TRADEFEEDR,TRADEFEEDR
m20180903-A01,AUDCAD,"['AUDUSD', 'USDCAD']",AUD,18,2,Algo,Algo,DefaultSubAccount,PassiveMidTracker,,LP3,1652220.215,16520391.96,8.09413759,1.536E+12,0.944644986,,1.536E+12,0.944644986,1.536E+12,0.944644986,1.536E+12,0.944438702,36066000,50000000,B,"OrderedDict([('AUD', 22903000.0), ('USD', 2190.0099999986123), ('CAD', -21634803.943106)])",0.944627514,0.944627514,,,,,22903000,-18.4968305,-18.4968305,-218.37209,27097000,725,-126.8172286,-126.8172286,03/09/2018,0.944479451,156.766115,156.766115,1.367204852,2.984772414,,G10,NewYork,NewYork,0-50,19,19,500,7.543859497,,,6.584530708,413.5479746,4.353168248,-218.37209,1.268172286,0.184968305,2.1837209,1.268172286,0.184968305,2.1837209,-1.425501632,-1.56766115,0.184968305,0.184968305,,,2.1837209,2.1837209,0,0,1.268172286,1.268172286,,,0.944492876,0.944492876,0.944490301,0.94451948,-1.425501632,-1.425501632,-1.45276485,-1.143794552,-0.107505389,-0.038187762,0,0,0,0.069317363,0.069317363,-0.038187762,0.031129866,-1.737150591,-1.492259367,0,-18.4968305,0,0.184968305,6.78874E+17,TRADEFEEDR,TRADEFEEDR
m20180903-A02,AUDCAD,"['AUDCAD', 'AUDUSD', 'USDCAD']",AUD,46,2,Algo,Algo,DefaultSubAccount,Iceberg,,LP1,737278.5025,18168047.03,15.50762972,1.536E+12,0.944422669,,1.536E+12,0.944422669,1.536E+12,0.944422669,1.536E+12,0.944542237,36067750,50000000,S,"OrderedDict([('AUD', -25186000.0), ('USD', 1870.8300000019372), ('CAD', 23786362.619103)])",0.944427961,0.944427961,,,,,25186000,-5.603011676,-5.603011676,-126.6041984,24814000,471,-65.65348064,-65.65348064,03/09/2018,0.944566161,146.3106062,146.3106062,2.314400896,4.594617834,,G10,NewYork,NewYork,0-50,19,20,500,7.543859497,,,6.569288618,421.8565521,3.508705382,-126.6041984,0.656534806,0.056030117,1.266041984,0.656534806,0.056030117,1.266041984,-1.180988914,-1.463106062,0.056030117,0.056030117,0.056030117,0.056030117,1.266041984,1.266041984,1.266041984,1.266041984,0.656534806,0.656534806,0.656534806,0.656534806,0.94453951,0.94453951,0.944542856,0.944524744,-1.180988914,-1.180988914,-1.216408231,-1.02467718,0.031128306,0.069313999,0,0,0,0,0.069313999,0.277255997,0.850053305,-0.427100011,1.048038893,0,-5.603011676,0,0.056030117,6.78874E+17,TRADEFEEDR,TRADEFEEDR
