Name,Description
Date,Date of ArrivalTime. For example: 2020-12-31
ParentOrderID,Unique identifier per algo run
Symbol,Currency pair of ParentOrderID. For example:  EURUSD
TradeCurrency,Denomination currency for OrderQuantity
Side,"Buy (B) or Sell (S). Buy or sell applies to currency pair (Symbol) in FX market convention, not to TradeCurrency.  For example, if Symbol is provided as EURUSD,  buys always means buying EUR and selling USD"
LegSymbols,"All currency pairs which have been traded to execute this ParentOrderID. This is relevant for multi-leg execution. For example, where AUDNOK is traded through 3 legs:  AUDUSD, EURNOK and EURUSD  "
Trader,The name of  a trader associated with this ParentOrderID
Account,Name of the underlying client this ParentOrderID executed on behalf of
SubAccount,SubAccount associated with this ParentOrderID
AlgoName,"AlgoName such as  ""TWAP"", ""Shortfall"", ""Tiger"" (normally marketing name under which an algo is sold by AlgoVendor)"
LP,AlgoVendor: institution responsible for overall algo execution
TimeZoneArrive,"Trading time zone of the ArrivalTime: ""London"" (07:00-15:00 GMT), ""NewYork"" (15:00-22:00 GMT) and ""Asia"" (22:00-07:00 GMT)"
HourArrive,"Hour of the ArrivalTime, GMT, 0 to 23. ""0""  for ArrivalTime between 00:00 and 00:59:59, ""1"" for  ArrivalTime between 01:00 and 01:59:59 etc"
TimeZoneEnd,"Trading time zone of the LastTime: ""London"" (07:00-15:00 GMT), ""NewYork"" (15:00-22:00 GMT) and ""Asia"" (22:00-07:00 GMT)"
HourEnd,"Hour of the LastTime, GMT, 0 to 23. ""0""  for LastTime between 00:00 and 00:59:59, ""1"" for  LastTime between 01:00 and 01:59:59 etc"
G10EM,"G10 or EM currency pair. G10 currency is EUR,USD,JPY,GBP,AUD,NZD,CAD,NOK,SEK,CHF.  If at least one currency in currency pair is not G10 currency then currency pair is classified as EM, otherwise it is G10"
TradeSizeBucketUSDM,"Translation of TradeQuantityUSD into USD size bucket in human readable format like 0-50, 50-100 etc.  0-50 means algo TradeQuantityUSD is between 0 and $50mil etc "
OrderQuantity,"Total  quantity ordered. For example: 10,000,000. In units of TradeCurrency. For ParentOrderID with multiple order quantities (amends) only the last ordered quantity is reported. "
AvgChildOrderQuantityUSD,Average Size of Child Order in USD
OrderQuantityUSD,USD Equivalent of OrderQuantity
TradeQuantityUSD,USD Equivalent of TradeQuantity
TradeQuantity,TradeQuantity in TradeCurrency
RemainQuantity,Amount which is not executed (in TradeCurrency)
ArrivalTime,Time (GMT) when the execution desk starts to execute the order.
ArrivalPrice,The Tradefeedr mid-price of the Symbol at the time immediately preceding the ArrivalTime. This is used for ArrivalMidPerfBPS.
TWAPPrice,Time Weighted Average Price of Symbol during algo execution
LastTime,The time the algo execution is done. Unless specific instruction is provided by AlgoVendor it is the time of the last fill.
LastPrice,Last mid price for Symbol observed at LastTime. The RemainQuantity is marked to market at LastPrice and is used to calculate ArrivalMidPerfRemainNetBPS
NumChildEvents,"Total Number of Child Events in ParentOrderID. The events include child order execution (fills), rejects and order placement by AlgoVendor"
NumParentEvents,"Total Number of Parent Events in ParentOrderID. The events include Parent Order Events. There should be at least one per ParentOrderID describing initial algo orders. Parent events represent all user instructions delivered to AlgoVendor (LP) such as LimitPrice changes, Algo Urgency changes, Order Size Changes, Stop and Start etc."
CurrencyPositions,"Decomposition of all child order executions into positions by currency. For example {‘EUR’: -1000, “USD”: 1100}. Normally only useful for multi-leg algo where for example AUDNOK is executed through AUDUSD, EURNOK and EURUSD legs and the resulting position will contain two main target currencies in the cross (AUD and NOK in this case). "
Duration,Order Duration in seconds.
TradeIntensity,Trading intensity per ParentOrderID: average speed of execution in USD traded per minute. Equals to TradeQuantityUSD/ (Duration/60)
OrderIntensity,Trading intensity per ParentOrderID based on OrderQuantityUSD.  Average speed of execution in USD traded per minute. Equals to OrderQuantityUSD/ (Duration/60)
RiskTransferPrice,Risk Transfer Price at ArrivalTime and for OrderQuantity for this order as submitted by AlgoVendor
PrincipalMid,PrincipalMid at ArrivalTime for this order as submitted by AlgoVendor
DailyVolatilityPct,"Volatility forecast for the execution day. Expressed as annualised volatility of Symbol in percentage points. For example, 10.5% is reported as 10.5."
ArrivalVolatilityPct,Volatility as measured at the ArrivalTime. Based on intraday volatility model. Expressed as annualized volatility of Symbol in percentage points. For example 10.5% is reported as 10.5.
SpreadPaidPMChildOrders,TradeQuantityUSD-weighted average spread paid of child fills. For each child fill the spread paid is the difference between mid price and executed price expressed in $/m (100xbasis point) and adjusted for Side. Positive number means buying above the mid and selling below. Expressed in $/m.
AllInPrice,"Effective overall rate at which ParentOrderID was executed. For single leg executions it is TradeQuantityUSD-weighted-average Price over all child fills.
For multi-leg order each execution is split into individual currencies. Then effective currency balances of all executions are aggregated. Finally, effective rate is calculated as a ratio of the balance of target currencies. For example if target Symbol is AUDNOK and the AUD balance is 1m and NOK balance is 6m then the effective execution rate would be 6m/1m = 6.
"
