Name,Description
Date,Date corresponding to TradeTime
TradeTime,TradeTime - Time (GMT) when the trade was filled
TradeID,"Unique identifier for a trading event. Event can fill, order submission, reject or other event related to trading workflow"
Symbol,Currency pair. For example EURUSD.
Side,"Trade side. ""B” for buy and ""S” for sell."
LP,Executing LP - counterparty to the trade.
Account,Name of the underlying client this ParentOrderID executed on behalf of
SubAccount,SubAccount associated with this ParentOrderID
OrderID,Unique identifier for the order
Trader,The name of a trader associated with this TradeID
TradeCcy,"Denomination Currency for TradeQuantity and OrderQuantity. For example
    EUR."
ProductType,Type of product traded. For example SPOT
NumLPs,Total number of LPs in the stack
Price,Execution price of the trade
TradeQuantity,Traded quantity expressed in TradeCurrency
SecondBestPrice,The second best price in the stack
BestBid,The best Bid price in the stack
BestAsk,The best Ask price in the stack
ValueDate,Settlement date of the trade
