ParentChild,ParentOrderID,TradeID,Symbol,Side,TradeCcy,TradeQuantityUSD,OrderQuantity,Price,OrderType,ExecVenue,Mid0,Mid1s,DecayPM1s,SpreadPnLPM,ArrivalTime,TradeTime
Parent,20180903-A00,20180903-A00-13,NZDUSD,S,NZD,0.0,100000000.0,0.6612600000000001,Market,Parent,0.6612800000000001,0.6612800000000001,-0.0,,2018-09-03 10:54:06,2018-09-03 10:54:06
Child,20180903-A00,20180903-A00-12,NZDUSD,S,NZD,4692123.5600000005,7096000.0,0.6612100000000001,Market,ExecV1,0.661235,0.661235,-0.0,37.808041014074774,2018-09-03 10:53:12,2018-09-03 10:53:12
Child,20180903-A00,20180903-A00-11,NZDUSD,S,NZD,4061966.605,6143000.0,0.66122,Market,ExecV2,0.661235,0.661235,-0.0,22.68482460847845,2018-09-03 10:53:01,2018-09-03 10:53:01
Child,20180903-A00,20180903-A00-10,NZDUSD,S,NZD,3743053.2,5661000.0,0.6611800000000001,Market,ExecV2,0.6612,0.6612,-0.0,30.248033877660284,2018-09-03 10:52:31,2018-09-03 10:52:31
Child,20180903-A00,20180903-A00-09,NZDUSD,S,NZD,3363524.4,5087000.0,0.6611800000000001,Market,ExecV2,0.6612,0.6612,-0.0,30.248033877660284,2018-09-03 10:52:12,2018-09-03 10:52:12
Child,20180903-A00,20180903-A00-08,NZDUSD,S,NZD,777594.7199999999,1176000.0,0.6612,Market,ExecV2,0.6612199999999999,0.6612199999999999,-0.0,30.24711896178123,2018-09-03 10:51:56,2018-09-03 10:51:56
Child,20180903-A00,20180903-A00-07,NZDUSD,S,NZD,2241535.8,3390000.0,0.6612,Market,ExecV1,0.6612199999999999,0.6612199999999999,-0.0,30.247118961781222,2018-09-03 10:51:55,2018-09-03 10:51:55
Child,20180903-A00,20180903-A00-06,NZDUSD,S,NZD,1731073.9599999997,2618000.0,0.6612,Market,ExecV1,0.6612199999999999,0.6612199999999999,-0.0,30.247118961781233,2018-09-03 10:51:51,2018-09-03 10:51:51
Child,20180903-A00,20180903-A00-05,NZDUSD,S,NZD,2299061.94,3477000.0,0.6612,Market,ExecV1,0.6612199999999999,0.6612199999999999,-0.0,30.247118961781226,2018-09-03 10:51:45,2018-09-03 10:51:45
Child,20180903-A00,20180903-A00-04,NZDUSD,S,NZD,4926088.999999999,7450000.0,0.6612,Market,ExecV1,0.6612199999999999,0.6612,30.247118961823638,30.247118961781226,2018-09-03 10:51:29,2018-09-03 10:51:29
Child,20180903-A00,20180903-A00-03,NZDUSD,S,NZD,1043405.1599999999,1578000.0,0.6612,Market,ExecV2,0.6612199999999999,0.6612199999999999,-0.0,30.247118961781226,2018-09-03 10:51:19,2018-09-03 10:51:19
Child,20180903-A00,20180903-A00-02,NZDUSD,S,NZD,2518625.07,3809000.0,0.6612100000000001,Market,ExecV2,0.66123,0.66123,-0.0,30.246661524596558,2018-09-03 10:51:07,2018-09-03 10:51:07
Child,20180903-A00,20180903-A00-01,NZDUSD,S,NZD,3717871.3699999996,5623000.0,0.66117,Market,ExecV1,0.6611899999999999,0.6611899999999999,-0.0,30.248491356355935,2018-09-03 10:50:57,2018-09-03 10:50:57
Parent,20180903-A00,20180903-A00-00,NZDUSD,S,NZD,0.0,100000000.0,0.66117,Market,Parent,0.6611899999999999,0.6611899999999999,-0.0,,2018-09-03 10:50:55,2018-09-03 10:50:55
