Date,Symbol,ArrivalTime,OrderQuantity,RiskTransferCostBPS
2022-01-03,EURUSD,2022-01-03,100,3.6097314242876393
2022-01-04,EURUSD,2022-01-04,100,3.8528456923869916
2022-01-05,EURUSD,2022-01-05,100,3.841447480110146
2022-01-06,EURUSD,2022-01-06,100,3.8365464428725358
2022-01-07,EURUSD,2022-01-07,100,3.7812805299081593
2022-01-10,EURUSD,2022-01-10,100,3.7966111361996524
2022-01-11,EURUSD,2022-01-11,100,3.7683262392373043
2022-01-12,EURUSD,2022-01-12,100,3.6893182386966408
2022-01-13,EURUSD,2022-01-13,100,3.8249683765586586
2022-01-14,EURUSD,2022-01-14,100,3.8402386529811263
