LP,Symbol,Side,TradeQuantityUSD,Price,Price_Pct25,Price_Pct50,Price_Pct75,Price_Pct90,Price_Pct100
LP_1,AUDUSD,B,661696151.6383988,0.76768734651969,0.7587225000000001,0.7687600000000001,0.77495,0.7754380000000001,0.7792000000000001
LP_1,AUDUSD,S,319042188.6490167,0.7633993991656446,0.7593725,0.765155,0.7701600000000001,0.77097,0.77151
LP_1,EURUSD,B,1041190827.6625099,1.2038174606947103,1.19168,1.20284,1.2183549999999999,1.22162,1.22293
LP_1,EURUSD,S,476948906.0464601,1.2020865975839612,1.1901950000000001,1.19449,1.213865,1.2198499999999999,1.22603
LP_1,GBPUSD,B,1818279994.6727371,1.4057393679325811,1.3888,1.41426,1.4193425,1.420985,1.42116
LP_1,GBPUSD,S,1995503548.028307,1.395402783016437,1.38368,1.39229,1.413995,1.415424,1.41807
LP_1,USDJPY,B,264636591.69734454,108.7087151131073,108.48246,108.97776,109.15688,109.473824,109.68512
LP_1,USDJPY,S,942279095.852282,108.92526574363389,108.68477,109.15154,109.26762,109.453988,109.8357
LP_2,AUDUSD,B,1049429558.1439724,0.7717570401995063,0.7639,0.7739900000000001,0.7763250000000002,0.777856,0.7889600000000001
LP_2,AUDUSD,S,840740393.7078868,0.7638899879941964,0.7626400000000001,0.7731300000000001,0.7742850000000001,0.77497,0.7755400000000001
LP_2,EURUSD,B,1170617540.7391417,1.2110432776837001,1.19379,1.21671,1.22111,1.2227519999999998,1.22568
LP_2,EURUSD,S,667580134.2163943,1.2022103324427629,1.1906975000000002,1.208075,1.21516,1.218376,1.21944
LP_2,GBPUSD,B,949624709.9073747,1.3956650209446508,1.3861,1.3882349999999999,1.4090425,1.415073,1.41627
LP_2,GBPUSD,S,1592055918.345835,1.3975118695552349,1.3787500000000001,1.3886,1.40455,1.41361,1.41752
LP_2,USDJPY,B,1208186018.7207346,109.47575250111753,108.80239,109.3901,109.80731,110.394268,110.79538
LP_2,USDJPY,S,954517896.1730561,109.61587898263778,108.9693225,109.379095,110.539925,110.748362,110.85158
LP_3,AUDUSD,B,408033671.2242942,0.7737864527273409,0.7615675000000001,0.7749400000000001,0.785575,0.789175,0.78942
LP_3,AUDUSD,S,416044708.7661716,0.7695225194799075,0.7614425,0.767225,0.77345,0.781,0.78744
LP_3,EURUSD,B,661019478.2619505,1.2044229281024328,1.202785,1.20812,1.2138049999999998,1.215954,1.21824
LP_3,EURUSD,S,889811710.899278,1.2013964630409288,1.19135,1.19714,1.20836,1.21666,1.21882
LP_3,GBPUSD,B,1234636602.6630414,1.4026146134973216,1.385745,1.39019,1.405275,1.41739,1.41889
LP_3,GBPUSD,S,911732584.9205678,1.4079574593166528,1.4053325,1.4136600000000001,1.414325,1.415465,1.41648
LP_3,USDJPY,B,385631142.68123174,109.03178950600073,108.94582249999999,109.20536000000001,109.278725,109.99545499999999,110.69396
LP_3,USDJPY,S,1225408221.005928,109.25189291644372,108.9871,109.33731,109.6500775,110.620111,110.74864
LP_4,AUDUSD,B,392736098.4586386,0.7672888365484132,0.7590650000000001,0.76702,0.7740150000000001,0.77559,0.77649
LP_4,AUDUSD,S,502062808.128353,0.7738490667044214,0.7711875,0.773815,0.7747825,0.7814760000000001,0.78729
LP_4,EURUSD,B,586443039.1759686,1.2098590107365192,1.1949074999999998,1.208345,1.2120325,1.21616,1.22008
LP_4,EURUSD,S,92165423.0102123,1.218387295588639,1.21637,1.21739,1.21841,1.219022,1.21943
LP_4,GBPUSD,B,724036623.3960845,1.3910294427384382,1.38808,1.39059,1.39116,1.399014,1.40425
LP_4,GBPUSD,S,574648707.8644366,1.3837088194962972,1.38234,1.39328,1.40809,1.410682,1.41241
LP_4,USDJPY,B,326735351.50592226,110.56100029596982,110.14719,110.55915,110.66356,110.800348,110.89154
LP_4,USDJPY,S,338301981.7469176,109.58464289593526,109.43769499999999,109.5671,109.819445,110.01991,110.28934
LP_5,AUDUSD,B,784711129.5412741,0.7681506395948366,0.7575775,0.7645,0.7728175,0.777855,0.78232
LP_5,AUDUSD,S,203721569.69465137,0.7649465573656512,0.75109,0.7608900000000001,0.7755700000000001,0.7763320000000001,0.7768400000000001
LP_5,EURUSD,B,473121301.90223175,1.1945263953592582,1.1913225,1.20081,1.2171825,1.221405,1.22218
LP_5,EURUSD,S,330896796.86665404,1.1951208081948785,1.1867,1.1951399999999999,1.2065299999999999,1.2121279999999999,1.21586
LP_5,GBPUSD,B,901721571.2987648,1.404545237418949,1.3961050000000002,1.40243,1.4121025,1.415752,1.41578
LP_5,GBPUSD,S,854800081.4362155,1.4033948563226475,1.387405,1.39074,1.41326,1.413983,1.41434
LP_5,USDJPY,B,673549530.8740064,109.80255336507194,109.10421249999999,109.31551,109.94314750000001,110.754472,110.7748
LP_5,USDJPY,S,611149061.3559725,109.24364812911966,108.80763,109.08241,109.14712,109.507846,109.74833
LP_6,AUDUSD,B,187342095.7477401,0.7754337500769218,0.7702600000000001,0.77688,0.777455,0.7778,0.7780300000000001
LP_6,AUDUSD,S,272900162.62767524,0.7696320170952373,0.7621000000000001,0.7735700000000001,0.7767200000000001,0.77873,0.78007
LP_6,EURUSD,B,138139780.63114113,1.1838102473867393,1.1856,1.19452,1.20344,1.208792,1.21236
LP_6,EURUSD,S,404715323.10460126,1.2179163755998954,1.215385,1.2175099999999999,1.21949,1.2200300000000002,1.22039
LP_6,GBPUSD,B,357036546.6375209,1.386343698320523,1.382445,1.38692,1.3871799999999999,1.387336,1.38744
LP_6,GBPUSD,S,1051358623.5322597,1.4006699531917317,1.3875175,1.39737,1.4115725,1.41332,1.41342
LP_6,USDJPY,B,279914708.97686666,109.49919284505245,109.2159425,109.697785,110.15759,110.344664,110.46938
LP_6,USDJPY,S,133990245.01675737,109.81245938951388,109.19017,109.44946999999999,109.70877,109.86435,109.96807
LP_7,AUDUSD,B,16860393.443932746,0.7690100000000001,0.7690100000000001,0.7690100000000001,0.7690100000000001,0.7690100000000001,0.7690100000000001
LP_7,AUDUSD,S,89284905.30597295,0.77623,0.7762300000000001,0.7762300000000001,0.7762300000000001,0.7762300000000001,0.7762300000000001
LP_7,EURUSD,B,285611764.9086161,1.2052294584499346,1.20267,1.2097099999999998,1.21675,1.220974,1.22379
LP_7,EURUSD,S,196268230.4284144,1.2103152015203331,1.2049599999999998,1.20796,1.21247,1.215176,1.21698
LP_7,GBPUSD,B,132279356.16785288,1.38577,1.38577,1.38577,1.38577,1.38577,1.38577
LP_7,GBPUSD,S,544589645.8797646,1.4012963091939798,1.38878,1.38886,1.40652,1.41105,1.41407
LP_7,USDJPY,B,425588532.90975094,109.2550500213423,108.96152,109.2687,109.61767,110.201308,110.5904
LP_7,USDJPY,S,237528738.92197388,109.16437638242124,108.50753499999999,108.75215,109.260975,109.56627,109.7698
LP_8,AUDUSD,B,18843743.092896044,0.77578,0.77578,0.77578,0.77578,0.77578,0.77578
LP_8,AUDUSD,S,49228501.0212959,0.7720082243826006,0.7707250000000001,0.77246,0.7733700000000001,0.773916,0.7742800000000001
LP_8,EURUSD,B,98253364.69539739,1.22022,1.22022,1.22022,1.22022,1.22022,1.22022
LP_8,EURUSD,S,242639882.5070631,1.2072500480994068,1.1992,1.21137,1.21439,1.216202,1.21741
LP_8,GBPUSD,B,30845353.683098085,1.41583,1.41583,1.41583,1.41583,1.41583,1.41583
LP_8,GBPUSD,S,266644067.94604567,1.4123901719435161,1.39525,1.4124,1.4148100000000001,1.416256,1.41722
LP_8,USDJPY,B,141651956.91166446,110.15261106855085,110.103575,110.28190000000001,110.460225,110.56721999999999,110.63855
