LP,Symbol,Side,TotalVolume,AvgTicketSize,MaxTicketSize,MinTicketSize,MaxPrice,MinPrice,Price,StdPrice,AvgNumLPs
LP_1,EURUSD,B,1041190827.6625099,94653711.60568272,198092003.20852548,20907592.186385244,1.22293,1.17814,1.2038174606947103,0.01483619000566848,6.454545454545454
LP_1,EURUSD,S,476948906.0464601,68135558.00663716,123594475.17608994,22884711.16075897,1.22603,1.1879,1.2020865975839612,0.01413763742061361,6.285714285714286
LP_1,USDJPY,B,264636591.69734454,52927318.33946891,94259083.49221572,22446231.73959553,109.68512,108.06833,108.7087151131073,0.5569758605900241,5.8
LP_1,USDJPY,S,942279095.852282,104697677.31692022,196288713.7196958,17399529.08596024,109.8357,108.23794,108.92526574363389,0.4785889619328382,6.222222222222222
LP_2,EURUSD,B,1170617540.7391417,90047503.13378014,231210211.1669403,24997901.5901639,1.22568,1.1874,1.2110432776837001,0.013997136985361768,5.384615384615385
LP_2,EURUSD,S,667580134.2163943,83447516.77704929,197887105.37409785,21969804.490795963,1.21944,1.1866,1.2022103324427629,0.012602901203691114,6.0
LP_2,USDJPY,B,1208186018.7207346,80545734.5813823,161706343.9625781,16180218.67237985,110.79538,108.11498,109.47575250111753,0.7738289968708967,6.533333333333333
LP_2,USDJPY,S,954517896.1730561,68179849.72664687,153717943.9561442,15393308.14732239,110.85158,108.5191,109.61587898263778,0.824131284352791,5.785714285714286
LP_3,EURUSD,B,661019478.2619505,94431354.0374215,181754186.05806357,19452173.297312107,1.21824,1.19306,1.2044229281024328,0.008155982654544097,5.571428571428571
LP_3,EURUSD,S,889811710.899278,98867967.87769756,198729506.27495086,19777918.121889275,1.21882,1.19038,1.2013964630409288,0.010531093409283881,5.333333333333333
LP_3,USDJPY,B,385631142.68123174,64271857.11353862,109538732.2944589,18246637.74110377,110.69396,107.81063,109.03178950600073,0.8447677745326759,6.0
LP_3,USDJPY,S,1225408221.005928,122540822.1005928,238870425.359346,17506328.66984233,110.74864,107.95938,109.25189291644372,0.7788395843824318,5.0
LP_4,EURUSD,B,586443039.1759686,97740506.52932811,291800193.99861765,29260047.383869722,1.22008,1.18908,1.2098590107365192,0.01123984084505753,6.833333333333333
LP_4,EURUSD,S,92165423.0102123,46082711.50510615,68611184.49362108,23554238.516591214,1.21943,1.21535,1.218387295588639,0.0020400000000000418,8.0
LP_4,USDJPY,B,326735351.50592226,65347070.30118445,115586014.429573,21002229.0609777,110.89154,108.7482,110.56100029596982,0.7658456395227465,5.8
LP_4,USDJPY,S,338301981.7469176,48328854.53527395,110627819.923684,15681640.90625942,110.28934,108.93238,109.58464289593526,0.3947420795705384,5.428571428571429
LP_5,EURUSD,B,473121301.90223175,78853550.31703863,136412022.32074782,25213519.048845347,1.22218,1.1823,1.1945263953592582,0.015021653999772818,5.666666666666667
LP_5,EURUSD,S,330896796.86665404,82724199.21666351,138967821.40688303,48498735.991904914,1.21586,1.18622,1.1951208081948785,0.01236114476899283,5.25
LP_5,USDJPY,B,673549530.8740064,84193691.3592508,186690167.5937697,16183813.40289488,110.7748,108.25638,109.80255336507194,0.809382608593583,6.5
LP_5,USDJPY,S,611149061.3559725,122229812.2711945,227715750.830248,22802225.74016079,109.74833,108.50317,109.24364812911966,0.41367011931731196,5.8
LP_6,EURUSD,B,138139780.63114113,69069890.31557056,110534096.4985758,27605684.13256531,1.21236,1.17668,1.1838102473867393,0.017840000000000078,6.5
LP_6,EURUSD,S,404715323.10460126,101178830.77615032,152008856.5170646,26194426.468044423,1.22039,1.21405,1.2179163755998954,0.0025409988193621875,5.25
LP_6,USDJPY,B,279914708.97686666,69978677.24421667,169837680.5987209,17816320.00347599,110.46938,108.83804,109.49919284505245,0.629656996839348,6.25
LP_6,USDJPY,S,133990245.01675737,66995122.508378685,113887753.8614906,20102491.15526676,109.96807,108.93087,109.81245938951388,0.5185999999999993,5.5
LP_7,EURUSD,B,285611764.9086161,142805882.45430806,188249610.4323095,97362154.47630663,1.22379,1.19563,1.2052294584499346,0.014079999999999981,7.5
LP_7,EURUSD,S,196268230.4284144,65422743.47613814,107121213.18751678,22759977.41776239,1.21698,1.20196,1.2103152015203331,0.0061730669488962876,5.0
LP_7,USDJPY,B,425588532.90975094,85117706.58195019,155291737.2202501,20473625.69719553,110.5904,107.60332,109.2550500213423,0.9714209729339822,5.8
LP_7,USDJPY,S,237528738.92197388,79176246.30732463,135553510.976024,20151918.5048528,109.7698,108.26292,109.16437638242124,0.6276627588655164,6.333333333333333
LP_8,EURUSD,B,98253364.69539739,98253364.69539739,98253364.69539739,98253364.69539739,1.22022,1.22022,1.22022,0.0,7.0
LP_8,EURUSD,S,242639882.5070631,80879960.8356877,105181906.11541253,67171871.73507828,1.21741,1.18703,1.2072500480994068,0.013131224873052301,5.666666666666667
LP_8,USDJPY,B,141651956.91166446,70825978.45583223,96501052.26319283,45150904.64847162,110.63855,109.92525,110.15261106855085,0.3566499999999948,4.0
