Date,Account,TradeTime,Symbol,TradeCcy,Side,TradeQuantity,ProductType
2021-04-02,Account,2021-04-02 10:54:05.577,AUDUSD,AUD,S,198342928.593047,SPOT
2021-04-02,Account,2021-04-02 12:12:06.090,AUDUSD,AUD,S,151804362.0977551,SPOT
2021-04-02,Account,2021-04-02 14:30:50.714,AUDUSD,AUD,B,15414795.66600174,SPOT
2021-04-02,Account,2021-04-02 15:01:37.076,AUDUSD,AUD,S,173989745.9978238,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,S,17736660.70541367,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,B,112184169.4926843,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,B,46651742.24064685,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,S,43266005.43572567,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,S,105542307.9174943,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,B,44207027.54869126,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,S,18889841.30928293,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,B,174392853.7005559,SPOT
2021-04-02,Account,2021-04-02 15:14:59.875,AUDUSD,AUD,B,61419276.80000663,SPOT
2021-04-05,Account,2021-04-05 10:02:27.234,AUDUSD,AUD,B,16026081.73852786,SPOT
2021-04-05,Account,2021-04-05 11:52:11.415,AUDUSD,AUD,B,80690121.96501717,SPOT
2021-04-05,Account,2021-04-05 13:04:48.623,AUDUSD,AUD,B,40797066.17048942,SPOT
2021-04-05,Account,2021-04-05 13:50:13.258,AUDUSD,AUD,B,104964140.6629235,SPOT
2021-04-05,Account,2021-04-05 14:38:08.536,AUDUSD,AUD,B,212312487.0471656,SPOT
2021-04-05,Account,2021-04-05 19:37:00.571,AUDUSD,AUD,B,103924077.2370249,SPOT
2021-04-05,Account,2021-04-05 22:03:45.400,AUDUSD,AUD,S,15289813.33365664,SPOT
2021-04-05,Account,2021-04-05 22:10:02.085,AUDUSD,AUD,S,20563513.61097768,SPOT
