Date,CreatedBy,CreatedFor,LP,MarketShare
2017-02-01,,,LP1masked,6.904769922619051
2017-02-02,,,LP1masked,5.386734748574526
2017-02-03,,,LP1masked,2.4253065341882274
2017-02-06,,,LP1masked,3.033364997386887
2017-02-07,,,LP1masked,5.166254869620674
2017-02-08,,,LP1masked,9.103199170347096
2017-02-09,,,LP1masked,4.740722199249473
2017-02-10,,,LP1masked,22.656854161901446
2017-02-01,,,LP2masked,14.8587381887782
2017-02-02,,,LP2masked,9.246221933238298
2017-02-03,,,LP2masked,8.936203875711543
2017-02-06,,,LP2masked,4.873392194814048
2017-02-07,,,LP2masked,7.726946066608546
2017-02-08,,,LP2masked,14.420261906274332
2017-02-09,,,LP2masked,10.799341466279303
2017-02-10,,,LP2masked,3.999292399947268
2017-02-01,,,LP3masked,8.853286602323566
2017-02-02,,,LP3masked,21.169788951738095
2017-02-03,,,LP3masked,14.483408149485498
2017-02-06,,,LP3masked,11.79080691093798
2017-02-07,,,LP3masked,4.31499304224632
2017-02-08,,,LP3masked,2.6162598214628523
2017-02-09,,,LP3masked,7.585155518799157
2017-02-10,,,LP3masked,17.916766352891365
2017-02-01,,,LP4masked,6.101761211253209
2017-02-02,,,LP4masked,9.826613125017076
2017-02-03,,,LP4masked,27.821729126185424
2017-02-06,,,LP4masked,1.3103211429001402
2017-02-07,,,LP4masked,13.351796670761942
2017-02-08,,,LP4masked,12.64503942734362
2017-02-09,,,LP4masked,17.499996740753488
2017-02-10,,,LP4masked,6.2597315351378136
2017-02-01,,,LP5masked,20.03865776220019
2017-02-02,,,LP5masked,29.195287182230263
2017-02-03,,,LP5masked,12.611100229016534
2017-02-06,,,LP5masked,53.657290779912344
2017-02-07,,,LP5masked,31.121367792039294
2017-02-08,,,LP5masked,14.756393410154232
2017-02-09,,,LP5masked,30.37355824267591
2017-02-10,,,LP5masked,9.446122678469015
2017-02-01,,,LP6masked,21.479278201428535
2017-02-02,,,LP6masked,10.542397377388918
2017-02-03,,,LP6masked,22.360741675512998
2017-02-06,,,LP6masked,17.42806678184767
2017-02-07,,,LP6masked,25.425440622494015
2017-02-08,,,LP6masked,22.935385187796438
2017-02-09,,,LP6masked,13.461162166713898
2017-02-10,,,LP6masked,13.06508630980438
2017-02-01,,,TRADEFEEDR,21.76350811139725
2017-02-02,,,TRADEFEEDR,14.632956681812825
2017-02-03,,,TRADEFEEDR,11.36151040989977
2017-02-06,,,TRADEFEEDR,7.906757192200935
2017-02-07,,,TRADEFEEDR,12.893200936229219
2017-02-08,,,TRADEFEEDR,23.523461076621427
2017-02-09,,,TRADEFEEDR,15.540063665528775
2017-02-10,,,TRADEFEEDR,26.656146561848715
